input,target
дорекы, дөрекі
асылында, асылында
инфракурылым, инфрақұрылым
ыстанбулда, ыстанбұлда
тактайшалары, тақтайшалары
шуды, шуды
сарындагы, сарындағы
жазгыштарга, жазғыштарға
тиесылы, тиесілі
айырмашылык, айырмашылық
жанылысуда, жаңылысуда
олердей, өлердей
осыншалык, осыншалық
немкурайлымыз, немқұрайлымыз
пана, пана
манайдагы, маңайдағы
орынсыз, орынсыз
шогырланган, шоғырланған
мейрамханалардан, мейрамханалардан
жанкуйерлыгы, жанкүйерлігі
тагамдарымызды, тағамдарымызды
ашаршылык, ашаршылық
уакылетты, уәкілетті
курбандарын, құрбандарын
мусылмандар, мұсылмандар
таскынынан, тасқынынан
сулу, сұлу
гашыктар, ғашықтар
корпеш, көрпеш
жайт, жайт
жария, жария
жандарга, жандарға
таптаурындар, таптаурындар
видеошыгарылымында, видеошығарылымында
асыредыншылдыкке, әсіредіншілдікке
дыншил, діншіл
таптырмас, таптырмас
торагасы, төрағасы
шобереден, шөбереден
зорланган, зорланған
жабирленушыны, жәбірленушіні
зорлаушы, зорлаушы
дурликтырды, дүрліктірді
кайткенмен, қайткенмен
далел, дәлел
орысшадан, орысшадан
мырза, мырза
гүл, гүл
атышулы, атышулы
ундыстермен, үндістермен
заманауи, заманауи
бакуатты, бақуатты
мазалайды, мазалайды
макалдары, мақалдары
керегарлыкка, кереғарлыққа
табалдырыгын, табалдырығын
небары, небәрі
онырдегы, өңірдегі
тудырды, тудырды
сыныбынын, сыныбының
арыз, арыз
жыршы, жыршы
накыл, нақыл
жырауларды, жырауларды
алпауыт, алпауыт
шуберекпен, шүберекпен
батырманы, батырманы
атамекеным, атамекенім
орасан, орасан
олкылыкты, олқылықты
тамыз, тамыз
кандастарымыздын, қандастарымыздың
каракалпак, қарақалпақ
соракысы, сорақысы
махаббатын, махаббатын
муражай, мұражай
апта, апта
туу, туу
озбекшеден, өзбекшеден
баптауындагы, баптауындағы
алматылыктар, алматылықтар
мандайшаларда, маңдайшаларда
атсалыскыныз, атсалысқыңыз
бузушылыктар, бұзушылықтар
катандыкка, қатаңдыққа
кабыргасында, қабырғасында
дыбыстамасын, дыбыстамасын
атышулы, атышулы
сома, сома
маусымды, маусымды
ормекшы, өрмекші
рамиздер, рәміздер
жылкы, жылқы
сикыр, сиқыр
бетбейнесын, бетбейнесін
аткеншекте, әткеншекте
жануарларга, жануарларға
алтыбакан, алтыбақан
саныраукулактан, саңырауқұлақтан
маркайып, марқайып
замандасымыз, замандасымыз
жоспарлар, жоспарлар
жаркын, жарқын
жумбак, жұмбақ
омыртка, омыртқа
окырмандарымызга, оқырмандарымызға
булгар, бұлғар
домбырашы, домбырашы
букпесыз, бүкпесіз
жулдеге, жүлдеге
байытуга, байытуға
тусаукесеры, тұсаукесері
аппак, аппақ
сиырдан, сиырдан
катпаска, қатпасқа
жарылыс, жарылыс
кенет, кенет
сулулыгын, сұлулығын
кыпшак, қыпшақ
отаршылдык, отаршылдық
когершын, көгершін
танымпаз, танымпаз
жүйкен, жүйкең
шалбар, шалбар
ыскыш, ысқыш
кылмыстырга, қылмыстырға
салты, салты
кырпияз, кірпияз
макулык, мақұлық
алакай, алақай
орыстандыру, орыстандыру
ашкерелеп, әшкерелеп
аясында, аясында
ханшайымнын, ханшайымның
шығармашылыкпен, шығармашылықпен
буынынын, буынының
береке, береке
сылекейыныз, сілекейіңіз
молайтудын, молайтудың
асыредыншылдыкке, әсіредіншілдікке
курдымын, құрдымың
ащы, ащы
айналайын, айналайын
казыналы, қазыналы
ардакты, ардақты
карттарымыздан, қарттарымыздан
тула, тұла
кулыншагым, құлыншағым
абайла, абайла
парсы, парсы
баламасы, баламасы
шатастырма, шатастырма
туыстык, туыстық
созжасамы, сөзжасамы
масыхшил, мәсіхшіл
даулеттын, дәулеттің
тубырлес, түбірлес
угымга, ұғымға
соракысы, сорақысы
желбыреген, желбіреген
жапырак, жапырақ
баскыншылыгы, басқыншылығы
кадамын, қадамын
ага-апайына, аға-апайыңа
хикаяны, хикаяны
ашуландырып, ашуландырып
кошбасында, көшбасында
зиялылары, зиялылары
шелпегы, шелпегі
елшыл, елшіл
мубарак, мүбәрак
топырагы, топырағы
зираты, зираты
андамай, аңдамай
калыпка, қалыпқа
дербестену, дербестену
ырыс, ырыс
жарым, жарым
сакиналар, сақиналар
амыршысы, әміршісі
кулакгазымга, құлақғазымға
толыгырак, толығырақ
жанартылымда, жаңартылымда
гурыптарды, ғұрыптарды
саусагымды, саусағымды
жасар, жасар
амандасуды, амандасуды
леп, леп
согурлым, соғұрлым
гашыкхаттар, ғашықхаттар
миымда, миымда
коктем, көктем
арзандайды, арзандайды
енжарлык, енжарлық
туларынын, туларының
ануранынын, әнұранының
ботен, бөтен 
кайталамайтынына, қайталамайтынына
урандарды, ұрандарды
ширик, шірік
тауелсыз, тәуелсіз
урей, үрей
кушактау, құшақтау
далырек, дәлірек
манге, мәнге
керегарлык, кереғарлық
саудагер, саудагер
дауысхатты, дауысхатты
тиын, тиін
киналгыныз, қиналғыңыз
каркынмен, қарқынмен
онтустиккореялык, оңтүстіккореялық
аруактары, аруақтары
ендыгары, ендігәрі
жумак, жұмақ
жануар, жануар
ундестык, үндестік
дауыссыздар, дауыссыздар
буын, буын
ундесып, үндесіп
жуан, жуан
парызы, парызы
мукабаларынан, мұқабаларынан
тазара, тазара
руымызды, руымызды
руга, руға
бетперде, бетперде
жекеше, жекеше
саттен, сәттен
кулкыге, күлкіге
балпанак, балпанақ
кулмей, күлмей
урыспай, ұрыспай
зырылдатып, зырылдатып
жиналыс, жиналыс
жиылетуде, жиілетуде
акырындап, ақырындап
ыгыстырылуда, ығыстырылуда
гарышта, ғарышта
жолдастар, жолдастар
табыс, табыс
конбауы, қонбауы
даласында, даласында
ескерсек, ескерсек
аншысы, аңшысы
малшысы, малшысы
тушкырген, түшкірген
жарекымалда, жәрекімалда
аккас, аққас
танырым, тәңірім
жартысы, жартысы
шарап, шарап
аспап, аспап
туспалдау, тұспалдау
зияттын, зияттың
жиылыгыне, жиілігіне
ажырататын, ажырататын
байыргы, байырғы
козгаган, қозғаған
сойылын, сойылын
дерек, дерек
жактау, жақтау
ортагасырлык, ортағасырлық
тангалдым, таңғалдым
сайтанга, сайтанға
оркениетты, өркениетті
унгірден, үңгірден
тангаларлык, таңғаларлық
токкендер, төккендер
аулие, әулие
кус, құс
муйызтумсыкты, мүйізтұмсықты
кахарман, қаһарман
балакайлар, балақайлар
башкуртша, башқұртша
тармагынын, тармағының
мурагерлеры, мұрагерлері
кайсар, қайсар
санау, санау
раушан, раушан
арнамыздан, арнамыздан
сиырыныз, сиырыңыз
жануарларынын, жануарларының
лебызын, лебізін
дармек, дәрмек
дарумендер, дәрумендер
кеуденды, кеудеңді
араласпайды, араласпайды
муддесын, мүддесін
саби, сәби
курсак, құрсақ
кынырланып, қыңырланып
шартсыз, шартсыз
жубайым, жұбайым
сергек, сергек
ныгая, нығая
табушы, табушы
машыктардын, машықтардың
жумсалатынын, жұмсалатынын
калта, қалта
паш, паш
накыштагы, нақыштағы
буйымдар, бұйымдар
кешек, кешек
тамсанатынмын, тамсанатынмын
дарыптеп, дәріптеп
алан, алаң
колонер, қолөнер
алшысынан, алшысынан
кайнар, қайнар
шапандар, шапандар
сомкелер, сөмкелер
зергерлык, зергерлік
кумис, күміс
былезык, білезік
кошкар, қошқар
орамалдар, орамалдар
камзолдар, камзолдар
казакылыгымыз, қазақылығымыз
саркыншагы, сарқыншағы
бейымдесек, бейімдесек
жанашыры, жанашыры
аукымы, ауқымы
аукымды, ауқымды
шакыртуымен, шақыртуымен
хатшысы, хатшысы
мактау, мақтау
айрыкша, айрықша
мейлынше, мейлінше
ангартты, аңғартты
баяндама, баяндама
китапша, кітапша
зейнетке, зейнетке
ордаларында, ордаларында
мерейтойы, мерейтойы
аныктагыштар, анықтағыштар
аныктагыш, анықтағыш
аттеген, әттеген
ылгалдандыргыш, ылғалдандырғыш
талкыга, талқыға
кызгылт, қызғылт
сарапшылары, сарапшылары
улыбританияда, ұлыбританияда
мазакка, мазаққа
устаралар, ұстаралар
хош, хош
сусабын, сусабын
ерлердыкыне, ерлердікіне
расымен, расымен
карашада, қарашада
былтыргы, былтырғы
